Individuals,Species,Sexe,wing_morph,Total leg length 3,body length
1,pulchella,M,wingless,1503.386,1341.136
2,pulchella,M,wingless,1532.225,1349.41
3,pulchella,M,wingless,1768.622,1488.972
8,pulchella,M,wingless,1796.175,1619.68
9,pulchella,M,wingless,1326.061,1191.825
10,pulchella,M,wingless,1311.894,1126.72
11,pulchella,M,wingless,1199.031,984.544
12,pulchella,M,wingless,1334.526,1178.673
13,pulchella,M,wingless,1288.277,1171.627
14,pulchella,M,wingless,1414.61,1191.079
15,pulchella,M,wingless,1474.331,1302.481
16,pulchella,M,wingless,1641.453,1460.158
20,pulchella,M,wingless,1358.23,1202.307
21,pulchella,M,wingless,1720.524,1484.17
22,pulchella,M,wingless,1718.019,1584.094
23,pulchella,M,wingless,1498.794,1275.479
24,pulchella,M,wingless,1303.649,1129.133
25,pulchella,M,wingless,1684.437,1419.149
37,pulchella,M,wingless,1352.912,1215.592
38,pulchella,M,wingless,1516.151,1416.389
39,pulchella,M,wingless,1416.863,1228.519
40,pulchella,M,wingless,1751.638,1568.482
42,pulchella,M,wingless,1645.69,1448.691
43,pulchella,M,wingless,1470.908,1304.681
46,pulchella,M,wingless,1335.653,1179.695
47,pulchella,M,wingless,1489.718,1334.035
48,pulchella,M,wingless,1609.634,1388.031
50,pulchella,M,wingless,1597.756,1452.597
51,pulchella,M,wingless,1438.114,1216.706
52,pulchella,M,wingless,1492.864,1308.593
54,pulchella,M,wingless,1429.195,1271.524
55,pulchella,M,wingless,1302.419,1084.216
56,pulchella,M,wingless,1453.514,1270.516
57,pulchella,M,wingless,1781.362,1569.917
58,pulchella,M,wingless,1547.049,1380.508
59,pulchella,M,wingless,1661.064,1499.16
60,pulchella,M,wingless,1726.475,1516.265
61,pulchella,M,wingless,1658.123,1462.142
62,pulchella,M,wingless,1543.888,1374.085
63,pulchella,M,wingless,1502.612,1361.168
64,pulchella,M,wingless,1709.395,1501.277
65,pulchella,M,wingless,1731.618,1630.806
66,longipes,M,wingless,5877.653,1955.072
68,longipes,M,wingless,5225.772,1895.612
69,longipes,M,wingless,5840.742,1960.864
70,longipes,M,wingless,6012.491,1964.802
71,longipes,M,wingless,7451.682,2089.121
72,longipes,M,wingless,4880.252,1872.391
73,longipes,M,wingless,6388.405,2021.413
74,longipes,M,wingless,3572.589,1676.898
75,longipes,M,wingless,6517.113,2033.327
76,longipes,M,wingless,5091.324,1796.583
77,longipes,M,wingless,9960.483,2398.468
78,longipes,M,wingless,6729.822,2018.202
79,longipes,M,wingless,3160.102,1678.86
80,longipes,M,wingless,5604.784,1953.141
81,longipes,M,wingless,7222.039,2039.754
82,longipes,M,wingless,7132.811,2136.221
83,longipes,M,wingless,8895.505,2193.483
84,longipes,M,wingless,5059.97,1938.906
85,longipes,M,wingless,5992.138,1970.088
86,longipes,M,wingless,8191.597,2168.059
87,longipes,M,wingless,6029.673,2005.406
88,longipes,M,wingless,6582.556,2034.461
89,longipes,M,wingless,7352.701,2112.049
90,longipes,M,wingless,4361.818,1759.836
91,longipes,M,wingless,5352.66,1839.607
92,longipes,M,wingless,8052.154,2193.29
93,longipes,M,wingless,6122.377,1937.096
94,longipes,M,wingless,7175.857,2102.538
96,longipes,M,wingless,5751.109,1954.626
97,longipes,M,wingless,6428.939,2097.817
98,longipes,M,wingless,8024.834,2205.248
99,longipes,M,wingless,7477.375,2066.22
100,longipes,M,wingless,8095.181,2123.162
102,longipes,M,wingless,5234.392,1880.968
103,longipes,M,wingless,5310.761,1851.612
104,longipes,M,wingless,7441.198,2149.216
105,longipes,M,wingless,4150.254,1772.594
106,longipes,M,wingless,6868.175,2086.598
107,longipes,M,wingless,7591.537,2087.227
108,longipes,M,wingless,7820.95,2177.522
109,longipes,M,wingless,6845.039,2039.354
110,longipes,M,wingless,9577.474,2289.617
111,longipes,M,wingless,4063.075,1809.834
112,longipes,M,wingless,5317.086,1901.409
114,longipes,M,wingless,5670.304,1929.592
115,longipes,M,wingless,7123.478,2035.286
116,longipes,M,wingless,4043.684,1871.015
117,longipes,M,wingless,9598.978,2223.371
118,longipes,M,wingless,4679.465,1711.284
119,longipes,M,wingless,8997.689,2226.633
120,longipes,M,wingless,7190.454,2094.631
121,longipes,M,wingless,6314.673,2001.094
122,longipes,M,wingless,8469.047,2205.851
123,longipes,M,wingless,6285.668,1908.015
124,longipes,M,wingless,4317.248,1861.324
126,longipes,M,wingless,8169.786,2176.133
127,longipes,M,wingless,4652.205,1765.491
128,longipes,M,wingless,6629.125,1987.824
129,longipes,M,wingless,6680.388,1995.779
130,longipes,M,wingless,4849.262,1791.311
131,longipes,M,wingless,9676.284,2294.902
132,longipes,M,wingless,8865.989,2233.688
133,longipes,M,wingless,6079.276,1944.04
134,longipes,M,wingless,4583.382,1814.798
135,longipes,M,wingless,8675.131,2175.408
136,longipes,M,wingless,7133.67,2094.727
137,longipes,M,wingless,5369.371,1925.753
138,longipes,M,wingless,6675.728,1988.735
139,longipes,M,wingless,3830.425,1849.472
140,longipes,M,wingless,6461.649,2039.953
141,longipes,M,wingless,6140.78,1957.328
142,longipes,M,wingless,5244.714,1876.332
143,longipes,M,wingless,3974.542,1734.954
144,longipes,M,wingless,7705.393,2123.468
145,longipes,M,wingless,7727.421,2066.714
152,americana,M,wingless,2895.557,2035.521
153,americana,M,wingless,2913.713,2034.639
154,americana,M,wingless,3136.952,2186.266
155,americana,M,wingless,2787.083,2024.169
156,americana,M,wingless,3007.015,2118.251
157,americana,M,wingless,2891.49,2128.21
158,americana,M,wingless,2973.186,2177.147
159,americana,M,wingless,3133.283,2183.465
160,americana,M,wingless,3012.148,2102.589
161,americana,M,wingless,3037.002,2219.499
162,americana,M,wingless,2921.845,2212.612
163,americana,M,wingless,2969.497,2150.929
164,americana,M,wingless,2929.651,2106.254
165,americana,M,wingless,3263.291,2289.917
166,americana,M,wingless,2978.812,2098.787
167,americana,M,wingless,2806.039,2124.462
168,americana,M,wingless,2919.948,2127.117
169,americana,M,wingless,2975.937,2056.844
170,americana,M,wingless,2868.356,2071.279
171,americana,M,wingless,2989.263,2038.444
172,americana,M,wingless,2893.848,2025.058
173,americana,M,wingless,3050.196,2148.086
174,americana,M,wingless,2900.089,2058.583
175,americana,M,wingless,2894.281,2074.221
176,americana,M,wingless,2895.208,2017.731
177,americana,M,wingless,2799.815,2051.614
178,americana,M,wingless,2834.745,1979.755
179,americana,M,wingless,2879.93,2000.675
180,americana,M,wingless,3006.913,2270.84
181,americana,M,wingless,3013.361,2128.227
1,mimula,M,wingless,2623.311,2351.458
2,mimula,M,wingless,2487.309,2242.061
3,mimula,M,wingless,2376.183,2090.61
4,mimula,M,wingless,2677.57,2389.093
5,mimula,M,wingless,2730.116,2466.906
6,mimula,M,wingless,2756.621,2465.428
7,mimula,M,wingless,2528.841,2330.938
8,mimula,M,wingless,2587.527,2371.556
9,mimula,M,wingless,2626,2285.909
10,mimula,M,wingless,2649.544,2289.729
11,mimula,M,wingless,2574.178,2251.266
12,mimula,M,wingless,2651.52,2323.193
13,mimula,M,wingless,2644.078,2295.526
14,mimula,M,wingless,2806.055,2451.177
15,mimula,M,wingless,2766.454,2491.692
16,mimula,M,wingless,2610.364,2249.362
17,mimula,M,wingless,2638.074,2266.94
18,mimula,M,wingless,2671.362,2394.456
19,mimula,M,wingless,2617.171,2317.833
20,mimula,M,wingless,2608.608,2254.294
1,americana,F,wingless,2891.155637,2325.303293
2,americana,F,wingless,2781.787507,2287.071135
3,americana,F,wingless,2799.528067,2312.188919
4,americana,F,wingless,2951.279904,2330.340546
5,americana,F,wingless,2823.298907,2352.700161
6,americana,F,wingless,2741.375357,2257.518267
7,americana,F,wingless,2980.38685,2320.764876
8,americana,F,wingless,2877.943712,2246.251587
9,americana,F,wingless,2895.494072,2319.447456
10,americana,F,wingless,2889.32267,2302.860335
11,americana,F,wingless,2825.254509,2282.157797
12,americana,F,wingless,2783.588999,2210.005755
13,americana,F,wingless,2920.004194,2271.222066
14,americana,F,wingless,2876.405255,2241.041989
15,americana,F,wingless,2887.46762,2274.345275
16,americana,F,wingless,2942.696117,2293.878831
17,americana,F,wingless,2765.896281,2225.838034
18,americana,F,wingless,2884.663896,2359.434901
19,americana,F,wingless,2845.269971,2275.112547
20,americana,F,wingless,2843.572607,2256.228665
1,pulchella,F,wingless,1420.780495,1502.246975
2,pulchella,F,wingless,1483.192604,1488.633616
3,pulchella,F,wingless,1439.676633,1467.433282
4,pulchella,F,wingless,1527.551901,1545.924634
5,pulchella,F,wingless,1541.500518,1524.716649
6,pulchella,F,wingless,1427.684975,1455.620898
7,pulchella,F,wingless,1431.001013,1486.517594
8,pulchella,F,wingless,1409.943763,1453.523075
9,pulchella,F,wingless,1561.802687,1563.719616
10,pulchella,F,wingless,1351.949705,1413.540355
11,pulchella,F,wingless,1473.940289,1658.769881
12,pulchella,F,wingless,1473.024006,1548.225416
13,pulchella,F,wingless,1453.126273,1500.959953
14,pulchella,F,wingless,1472.564007,1562.905993
15,pulchella,F,wingless,1361.791809,1434.242468
16,pulchella,F,wingless,1432.382852,1504.385678
17,pulchella,F,wingless,1450.613069,1507.505069
18,pulchella,F,wingless,1553.476622,1614.876438
19,pulchella,F,wingless,1461.990418,1595.247665
20,pulchella,F,wingless,1446.808889,1525.971559
1,cortipes,F,wingless,2261.592947,2048.383521
2,cortipes,F,wingless,2027.321706,1909.580571
3,cortipes,F,wingless,2245.989673,2149.490686
4,cortipes,F,wingless,2137.152312,2055.135526
5,cortipes,F,wingless,2091.214801,1965.970387
6,cortipes,F,wingless,2155.220117,2033.05099
7,cortipes,F,wingless,2198.465691,2076.860296
8,cortipes,F,wingless,2109.562704,1993.602984
9,cortipes,F,wingless,1983.297615,1922.348206
10,cortipes,F,wingless,2250.658321,2125.079436
11,cortipes,F,wingless,2280.987405,2075.347987
12,cortipes,F,wingless,2328.850474,2130.917533
13,cortipes,F,wingless,2147.390341,2024.097156
14,cortipes,F,wingless,2296.719219,2063.459823
15,cortipes,F,wingless,2320.417741,2125.178804
16,cortipes,F,wingless,2275.73274,2082.828816
17,cortipes,F,wingless,2182.065798,2016.369963
18,cortipes,F,wingless,2186.596299,2080.193013
19,cortipes,F,wingless,2053.735449,1930.524033
20,cortipes,F,wingless,2244.695852,2040.608639
87,longipes,F,wingless,2721.13,2087.609
88,longipes,F,wingless,2640.572,1952.365
89,longipes,F,wingless,2551.81,2020.506
90,longipes,F,wingless,2824.149,2111.048
91,longipes,F,wingless,2794.873,2040.208
92,longipes,F,wingless,2767.659,2091.658
93,longipes,F,wingless,2656.799,2025.055
94,longipes,F,wingless,2449.572,1934.479
95,longipes,F,wingless,2668.139,2067.742
96,longipes,F,wingless,2668.381,1960.441
97,longipes,F,wingless,2440.121,1971.603
98,longipes,F,wingless,2647.828,1986.006
99,longipes,F,wingless,2613.86,2076.936
100,longipes,F,wingless,2455.075,1910.502
102,longipes,F,wingless,2919.816,2227.3
103,longipes,F,wingless,2501.04,1920.621
104,longipes,F,wingless,2486.631,1973.766
105,longipes,F,wingless,2671.095,2014.146
106,longipes,F,wingless,2785.245,2120.341
107,longipes,F,wingless,2782.824,2142.165
108,longipes,F,wingless,2670.416,1976.509
109,longipes,F,wingless,2959.85,2223.399
110,longipes,F,wingless,2616.452,1997.809
111,longipes,F,wingless,2748.637,2096.525
112,longipes,F,wingless,2607.996,2031.144
113,longipes,F,wingless,2734.638,2027.494
114,longipes,F,wingless,2442.562,1946.365
115,longipes,F,wingless,2608.81,2113.728
116,longipes,F,wingless,2458.999,1905.824
117,longipes,F,wingless,2602.703,1981.407
118,longipes,F,wingless,2411.118,1990.642
119,longipes,F,wingless,2576.902,1954
120,longipes,F,wingless,2874.252,2120.086
121,longipes,F,wingless,2649.002,2118.281
122,longipes,F,wingless,2679.521,2064.523
123,longipes,F,wingless,2824.193,2192.649504
124,longipes,F,wingless,2895.238,2218.613662
125,longipes,F,wingless,2376.575875,1860.762839
126,longipes,F,wingless,2874.580577,2219.189069
127,longipes,F,wingless,2953.979472,2164.956725
128,longipes,F,wingless,2641.589084,1950.584999
129,longipes,F,wingless,2662.044374,2080.895224
130,longipes,F,wingless,2706.456149,2113.66461
131,longipes,F,wingless,3053.442015,2262.229024
132,longipes,F,wingless,2697.001779,2109.554107
133,longipes,F,wingless,2383.521465,1977.11227
